X,Y,Z
-12.35398162,-15.73022504,-31.8485306
-12.40166119,-15.74204671,-31.8724656
-12.44943038,-15.75390882,-31.89648246
-12.49728954,-15.76581142,-31.92058133
-12.54523902,-15.77775459,-31.94476232
-12.59327916,-15.78973839,-31.96902557
-12.6414103,-15.80176288,-31.9933712
-12.68963281,-15.81382812,-32.01779934
-12.73794702,-15.82593418,-32.04231013
-12.7863533,-15.83808112,-32.06690369
-12.83485198,-15.85026901,-32.09158016
-12.93212801,-15.87476791,-32.14118238
-12.98090606,-15.88707906,-32.16610839
-13.02977794,-15.89943142,-32.19111785
-13.07874402,-15.91182506,-32.21621091
-13.12780464,-15.92426007,-32.2413877
-13.17696018,-15.9367365,-32.26664837
-13.32499986,-15.97441504,-32.34293503
-13.37453867,-15.98705788,-32.36853261
-13.4241742,-15.9997425,-32.3942148
-13.47390682,-16.01246898,-32.41998172
-13.52373691,-16.02523738,-32.44583354
-13.57366483,-16.03804779,-32.4717704
-13.62369096,-16.05090027,-32.49779245
-13.67381566,-16.06379491,-32.52389985
-13.72403932,-16.07673177,-32.55009274
-13.77436229,-16.08971094,-32.57637129
-13.82478497,-16.10273249,-32.60273565
-13.87530772,-16.1157965,-32.62918597
-13.92593093,-16.12890305,-32.65572242
-13.97665497,-16.14205222,-32.68234515
-14.02748022,-16.15524408,-32.70905433
-14.07840707,-16.16847871,-32.73585011
-14.12943591,-16.1817562,-32.76273267
-14.1805671,-16.19507663,-32.78970215
-14.23180105,-16.20844008,-32.81675874
-14.28313813,-16.22184663,-32.84390259
-14.33457874,-16.23529636,-32.87113387
-14.38612327,-16.24878936,-32.89845276
-14.4377721,-16.26232572,-32.92585942
-14.48952563,-16.27590551,-32.95335403
-14.54138426,-16.28952882,-32.98093675
-14.59334838,-16.30319574,-33.00860777
-14.64541838,-16.31690635,-33.03636725
-14.69759467,-16.33066075,-33.06421538
-14.74987764,-16.34445901,-33.09215232
-14.8022677,-16.35830124,-33.12017827
-14.85476525,-16.37218751,-33.1482934
-14.90737069,-16.38611791,-33.1764979
-14.96008442,-16.40009255,-33.20479193
-15.01290686,-16.4141115,-33.2331757
-15.06583841,-16.42817487,-33.26164939
-15.11887949,-16.44228273,-33.29021318
-15.1720305,-16.4564352,-33.31886726
-15.27866397,-16.48487428,-33.37644705
-15.33214726,-16.49916109,-33.40537314
-15.38574215,-16.51349288,-33.4343903
-15.43944905,-16.52786974,-33.4634987
-15.54720057,-16.55675905,-33.52199005
-15.60124604,-16.5712717,-33.5513734
-16.03773923,-16.68901798,-33.78977088
-16.09282355,-16.70394343,-33.81999001
-16.20334545,-16.73393359,-33.8807102
-16.25878391,-16.7489985,-33.9112117
-16.31434131,-16.76411012,-33.94180776
-16.3700181,-16.77926855,-33.97249859
-16.42581472,-16.7944739,-34.00328442
-16.48173162,-16.80972628,-34.03416546
-16.53776925,-16.82502579,-34.06514195
-12.0813437,-15.71339323,-31.7370443
-12.12853284,-15.72500631,-31.76049975
-12.17580962,-15.73665961,-31.78403645
-12.22317437,-15.74835319,-31.8076545
-12.27062743,-15.76008711,-31.83135403
-12.31816915,-15.77186144,-31.85513516
-12.36579986,-15.78367622,-31.87899802
-12.41351992,-15.79553153,-31.90294272
-12.46132965,-15.80742743,-31.92696939
-12.50922942,-15.81936398,-31.95107817
-12.55721957,-15.83134123,-31.97526917
-12.60530043,-15.84335926,-31.99954252
-12.65347238,-15.85541813,-32.02389836
-12.70173574,-15.8675179,-32.04833682
-12.75009088,-15.87965865,-32.07285801
-12.79853815,-15.89184042,-32.09746209
-12.84707789,-15.9040633,-32.12214918
-12.89571047,-15.91632734,-32.14691942
-12.94443624,-15.92863262,-32.17177294
-12.99325555,-15.94097919,-32.19670987
-13.04216876,-15.95336714,-32.22173037
-13.09117623,-15.96579653,-32.24683456
-13.14027832,-15.97826743,-32.27202259
-13.1894754,-15.99077991,-32.2972946
-13.23876781,-16.00333403,-32.32265073
-13.28815593,-16.01592988,-32.34809113
-13.33764012,-16.02856751,-32.37361593
-13.38722075,-16.04124702,-32.39922529
-13.43689817,-16.05396846,-32.42491935
-13.48667277,-16.06673191,-32.45069826
-13.5365449,-16.07953744,-32.47656217
