X,Y,Z
-10.643364020539883,-14.008276356930502,-30.361571598736518
-10.687434252484246,-14.01810725582694,-30.38287911246047
-10.731582724586586,-14.027973322582465,-30.40426284908611
-14.908776484366252,-15.02647735134809,-32.56842286339049
-14.96110755095499,-15.0396435485978,-32.59695931072309
-15.013547783623453,-15.052850264732415,-32.62558357878352
-15.066097584261122,-15.066097584261122,-32.65429585073718
-10.521341386188492,-14.028455181584658,-30.326126743855273
-10.565213821498697,-14.038207984275086,-30.347209944155615
-10.609163623094437,-14.047995969890565,-30.36836920142948
-10.653191094431612,-14.057819176157182,-30.389604597231546
-10.697296539687377,-14.067677641232716,-30.410916214049696
-10.741480263766647,-14.077571403707823,-30.432304135307596
-10.785742572309587,-14.087500502608442,-30.45376844536988
-14.921942569280688,-15.079015648957327,-32.59718435306728
-14.97431419229867,-15.092222178064802,-32.625733674455525
-15.026795065806116,-15.105469385522378,-32.65437093259696
-10.663045697692224,-14.107465957427857,-30.417716126809673
-10.707186485785812,-14.117352044614854,-30.43903194600544
-10.751405591653716,-14.12727355899891,-30.460424151309567
-10.795703321372196,-14.137230539892162,-30.481892827484646
-10.840079981761042,-14.147223027044069,-30.50343806023621
-10.884535880390278,-14.157251060642757,-30.5250599362156
-10.929071325587834,-14.16731468131756,-30.546758543025486
-14.778563935092134,-15.092167413820878,-32.54087342951778
-14.83065067190439,-15.105292351013729,-32.569172672976464
-14.882845543582668,-15.118457874087934,-32.59755942540533
-14.935148948806127,-15.131664066553574,-32.62603386686406
-10.717104147062361,-14.167130824541342,-30.467226468331855
-10.761358764788852,-14.177080147469272,-30.488623057281732
-10.805692046040246,-14.187065067250119,-30.510096199303135
-10.85010429807497,-14.197085623921822,-30.531645980499952
-10.894595828903288,-14.20714185796172,-30.553272487921014
-10.939166947294941,-14.217233810289045,-30.57497580956548
-10.983817962785839,-14.22736152226622,-30.596756034385603
-14.73966903224872,-15.131681506510652,-32.54154796869072
-14.7916885723306,-15.144805806152814,-32.5697725269579
-14.84381593286442,-15.157970767422396,-32.598084530384334
-14.896051511676115,-15.171176473633194,-32.62648415814112
-14.948395708047636,-15.18442300870102,-32.65497159069401
-10.81570880356378,-14.237004445507424,-30.538378722472032
-10.904684072378565,-14.25713762165711,-30.58156439123393
-10.949290995454309,-14.267257963773796,-30.60327252805044
-10.993977857360068,-14.277414197309888,-30.62505765197213
-11.038744968851237,-14.287606364365983,-30.646919853304794
-11.083592641465204,-14.297834507490114,-30.668859223313977
-11.128521187528232,-14.308098669679156,-30.690875854227986
-11.173530920162985,-14.318398894381042,-30.712969839242653
-11.218622153295835,-14.32873522549666,-30.73514127252539
-11.263795201663171,-14.33910770738042,-30.757390249216424
-11.30905038081975,-14.34951638484342,-30.779716865435574
-14.545623116965237,-15.132140178133188,-32.45844513219835
-14.597255697400584,-15.145141970225271,-32.48633398005947
-14.64899460217763,-15.158184254124981,-32.51430968285986
-14.70084022398983,-15.171267111157505,-32.54237241504207
-14.752792956949863,-15.184390623243608,-32.57052235232616
-14.804853196598161,-15.197554872900499,-32.59875967171157
-14.857021339913736,-15.210759943245014,-32.62708455148394
-10.781348875205797,-14.277008066825424,-30.545258186236808
-10.825753651642582,-14.287049036861639,-30.56674055990788
-10.870237479958478,-14.297125905843693,-30.588299738366352
-10.9148006690469,-14.307238714831746,-30.60993580945928
-10.95944352856385,-14.317387505329204,-30.631648861982047
-11.004166368935337,-14.327572319284936,-30.653438985683067
-11.048969501363485,-14.337793199093754,-30.675306271264862
-11.093853237834383,-14.348050187599135,-30.697250810389843
-11.183863774810218,-14.36867266432571,-30.74137202073759
-14.610297455006773,-15.197842929068708,-32.515358537967096
-14.662076971149562,-15.210924772208637,-32.54334677432521
-14.713963286150188,-15.224047346736727,-32.571422154345484
-14.870266978555383,-15.263660284866372,-32.6561729240461
-10.969624605577993,-14.367622799898449,-30.66010497613795
-11.014383556736375,-14.377836253592113,-30.681900200496077
-11.059222842718594,-14.388085905744258,-30.70377267135158
-11.104142775960359,-14.398371799495266,-30.725722480764833
-11.14914366968983,-14.408693978436357,-30.747749721758286
-11.194225837935278,-14.419052486611998,-30.769854488321585
-11.239389595531152,-14.429447368520192,-30.792036875412236
-11.284635258126489,-14.439878669115805,-30.814296978962656
-11.329963142191257,-14.450346433811145,-30.836634895881446
-11.375373565023985,-14.460850708478203,-30.85905072405815
-11.420866844759306,-14.471391539450718,-30.881544562367665
-14.263596495456472,-15.159942723313026,-32.3508935195808
-14.314679563969051,-15.172780246277824,-32.37828843432877
-14.365866785703764,-15.185658096844469,-32.40576940705052
-14.417158546213082,-15.198576353595906,-32.43333660543984
-14.468555232413967,-15.21153509570009,-32.46099019843894
-14.52005723259753,-15.224534402912235,-32.48873035624322
-14.571664936438493,-15.237574355576811,-32.51655725030551
-14.675199020768552,-15.263776521601518,-32.572471939332935
-14.727126187614164,-15.276938898618425,-32.600560083537054
-10.935119157158711,-14.407758348959113,-30.66691785024099
-10.979834285908437,-14.41796421381916,-30.68864103657388
-11.024629480447295,-14.428206367028341,-30.710441462668495
-11.069505052874351,-14.438484851575243,-30.73231922002605
-11.114461316075902,-14.448799710898673,-30.75427440110606
-11.159498583732299,-14.459150988889025,-30.77630709932924
-11.204617170325774,-14.4695387298909,-30.79841740908309
-11.24981739114663,-14.479962978703583,-30.820605425722896
-11.385911024159384,-14.511455226869803,-30.887636685134783
-11.431440951219464,-14.522025964089872,-30.91013650239246
-11.477054101341256,-14.53263344001003,-30.932714517984
-11.522750794819055,-14.543277702198806,-30.955370833159023
-11.568531352806577,-14.553958798692147,-30.978105550162063
-14.43011653452323,-15.251342678764388,-32.46248734240685
-14.48155382445345,-15.264340517667149,-32.490153246304416
-14.533096508614012,-15.277379079136024,-32.517905828195836
-14.68836083612808,-15.316739909331423,-32.601685366753046
-14.740329013879478,-15.329942174434658,-32.62978639187798
-14.792404551249671,-15.343185571774926,-32.657974966981435
-11.169882694227885,-14.509714729046854,-30.804944996558014
-11.215037833237048,-14.520131764224123,-30.82706095139623
-11.260274651652868,-14.53058544157185,-30.8492546996347
-11.305593466040019,-14.541075806650158,-30.87152633800014
-11.35099459378832,-14.551602905479452,-30.893875964196486
-11.396478353119084,-14.562166784541052,-30.916303676906193
